35,196,392,2154,1196,1272,1338
32,196,392,1964,1070,1138,1268
30,196,392,1848,992,1060,1166
28,196,392,1734,946,990,1060
26,196,392,1692,862,862,990
25,196,392,1634,848,880,982
24,196,392,1544,784,844,954
23,196,392,1554,752,784,876
21,196,392,1404,662,710,828
201,177,0,11930,7574,7902,8598
135,177,0,7734,4950,5210,5586
101,177,0,6044,3740,3872,4218
81,177,0,4762,2958,2986,3370
68,177,0,3962,2438,2530,2750
59,177,0,3540,2156,2200,2394
51,177,0,2974,1798,1870,2026
46,177,0,2744,1650,1674,1870
41,177,354,2430,1380,1484,1590
38,177,354,2238,1242,1330,1488
35,177,354,2140,1132,1276,1370
32,177,354,1962,1078,1158,1272
30,177,354,1850,956,1064,1166
28,177,354,1732,954,990,1084
26,177,354,1706,882,930,990
25,177,354,1600,848,880,990
24,177,354,1544,784,848,918
23,177,354,1572,752,796,888
21,177,354,1396,674,722,844
201,165,0,11790,7442,7894,8784
135,165,0,7568,4950,5134,5586
101,165,0,5948,3740,3864,4280
81,165,0,5006,2938,3114,3334
68,165,0,4058,2438,2530,2750
59,165,0,3506,2136,2152,2386
51,165,0,2942,1790,1862,2008
46,165,0,2764,1638,1662,1870
41,165,0,2480,1376,1480,1650
38,165,330,2250,1226,1382,1488
35,165,330,2148,1200,1272,1354
32,165,330,1954,1074,1146,1272
30,165,330,1836,1016,1060,1166
28,165,330,1738,954,990,1064
26,165,330,1712,862,922,990
25,165,330,1620,848,880,982
24,165,330,1550,784,848,910
23,165,330,1564,752,788,880
21,165,330,1404,666,714,832
201,154,0,11670,7622,7966,8614
135,154,0,8384,4950,5266,5650
101,154,0,5934,3740,3892,4226
81,154,0,4962,2962,3014,3406
68,154,0,4042,2442,2530,2750
59,154,0,3608,2104,2192,2394
51,154,0,3000,1802,1870,2038
46,154,0,2760,1648,1694,1870
41,154,0,2432,1392,1484,1590
38,154,0,2262,1254,1338,1492
35,154,308,2174,1140,1276,1370
32,154,308,1950,1082,1166,1272
30,154,308,1866,980,1036,1166
28,154,308,1738,954,990,1092
26,154,308,1710,882,882,988
25,154,308,1602,846,880,954
24,154,308,1564,800,848,918
23,154,308,1568,752,808,880
21,154,308,1396,686,730,792
201,142,0,11350,7382,7886,8784
135,142,0,8248,4950,5130,5586
101,142,0,5856,3740,3856,4268
81,142,0,4884,2970,2970,3322
